ensembl	symbol	datatype	CCRCC.val	CCRCC.pval	COAD.val	COAD.pval	HNSCC.val	HNSCC.pval	LSCC.val	LSCC.pval	LUAD.val	LUAD.pval	OV.val	OV.pval	PDAC.val	PDAC.pval	UCEC.val	UCEC.pval	metap
ENSG00000121410	A1BG	protein	 2.9e-01	 5.1e-05	-1.0e+00	-6.9e-21	-1.2e+00	-5.8e-25	-1.2e+00	-4.6e-34	-9.6e-01	-1.2e-33	-1.2e+00	-1.3e-08	 3.4e-01	 1.6e-04	-9.2e-01	-7.9e-10	 -1.7e-64
ENSG00000148584	A1CF	protein	-5.1e-01	-1.3e-09	-6.5e-02	-4.0e-01	NA	NA	NA	NA	-3.3e-01	-5.0e-02	NA	NA	-1.9e+00	-1.7e-15	NA	NA	 -4.1e-17
ENSG00000175899	A2M	protein	 4.9e-01	 2.3e-08	-1.2e+00	-4.2e-26	-1.3e+00	-2.2e-22	-1.7e+00	-7.5e-35	-1.4e+00	-2.0e-34	-1.3e+00	-1.8e-08	 2.7e-01	 2.2e-02	-9.3e-01	-2.1e-07	 -4.9e-64
ENSG00000166535	A2ML1	protein	NA	NA	NA	NA	-2.0e+00	-1.6e-18	 1.2e+00	 5.7e-10	-4.9e-01	-1.2e-02	-8.0e-01	-2.2e-03	 7.7e-01	 9.3e-05	 5.9e-01	 1.1e-03	 -8.6e-01
ENSG00000184389	A3GALT2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000128274	A4GALT	protein	NA	NA	NA	NA	-4.1e-02	-9.4e-01	 2.4e-01	 6.3e-04	NA	NA	NA	NA	NA	NA	NA	NA	  1.8e-02
ENSG00000118017	A4GNT	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000094914	AAAS	protein	 1.6e-01	 9.9e-17	 3.2e-01	 2.1e-18	 1.1e-01	 3.0e-05	 3.7e-01	 5.2e-30	 1.4e-01	 2.9e-12	 3.6e-01	 3.6e-08	 1.7e-01	 5.9e-04	 7.8e-03	 8.5e-01	  1.6e-66
ENSG00000081760	AACS	protein	-2.8e-01	-1.6e-06	 3.4e-01	 5.7e-13	-2.0e-01	-4.5e-03	 6.7e-01	 7.3e-28	 7.7e-01	 1.7e-31	 1.6e-01	 2.8e-01	 5.0e-02	 3.9e-01	 6.8e-01	 3.4e-08	  1.0e-25
ENSG00000114771	AADAC	protein	NA	NA	NA	NA	-1.4e+00	-7.0e-13	-4.5e-01	-2.6e-04	-1.1e+00	-3.5e-18	NA	NA	-1.2e+00	-8.5e-08	NA	NA	 -1.6e-35
ENSG00000197953	AADACL2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188984	AADACL3	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000204518	AADACL4	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000109576	AADAT	protein	-1.7e+00	-4.7e-27	NA	NA	NA	NA	-2.2e-01	-3.3e-02	-3.7e-01	-6.9e-06	NA	NA	NA	NA	 1.2e+00	 1.6e-07	 -1.2e-09
ENSG00000103591	AAGAB	protein	-1.1e-01	-6.6e-05	 3.1e-01	 2.7e-13	 1.0e-01	 1.7e-02	 5.6e-01	 6.0e-32	 3.1e-01	 1.8e-23	 2.8e-01	 1.7e-04	 1.7e-01	 3.7e-03	 3.2e-01	 2.5e-05	  7.2e-42
ENSG00000115977	AAK1	protein	-2.7e-01	-6.6e-20	-1.3e-01	-3.6e-07	 3.2e-01	 8.0e-22	 1.6e-01	 2.6e-11	-5.9e-03	-7.5e-01	-9.4e-02	-4.2e-01	-1.0e-01	-3.3e-03	 2.8e-02	 6.2e-01	 -3.0e-01
ENSG00000087884	AAMDC	protein	 1.2e-01	 3.0e-02	-7.7e-01	-1.3e-20	-6.8e-01	-4.3e-13	-7.7e-01	-2.3e-25	-4.3e-01	-4.8e-12	-5.2e-01	-7.8e-04	 4.3e-01	 5.2e-05	-2.1e-02	-7.7e-01	 -1.8e-28
ENSG00000127837	AAMP	protein	 3.2e-01	 7.3e-14	 1.3e-01	 1.2e-04	 1.4e-01	 3.5e-04	 4.6e-01	 2.5e-24	 2.4e-01	 5.6e-16	 2.1e-01	 2.1e-03	-1.1e-01	-6.1e-03	 8.4e-02	 1.9e-01	  7.5e-35
ENSG00000129673	AANAT	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
