Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
Q8IZE3	ENSG00000000457	14	SCYL3	protein_coding	ensembl_havana	chr1:169849631-169894267:-	242.434597	-0.13832731	0.077359147	0.064067132	0.136115057	no	14846	6899	11626	14846	242.434597	-0.186619341	0.079965931	0.017100291	0.06551584	yes	15495	6899	11920	15495	242.434597	-0.161350207	0.079329186	0.038494767	0.082953353	yes	15874	6899	11910	15874	242.434597	1.539172135	0.105720808	2.92E-49	9.56E-48	yes	1442	6899	1088	6899	242.434597	1.153364639	0.104288612	5.87E-29	9.21E-28	yes	3331	6899	2232	6899
P43351	ENSG00000002016	18	RAD52	protein_coding	ensembl_havana	chr12:911736-990053:-	83.11117042	-0.196981329	0.134381229	0.10448794	0.193108659	no	12061	10531	12432	12432	83.11117042	0.024675447	0.134673748	0.846832847	1	no	25165	10531	20364	25165	83.11117042	0.032146605	0.134781978	0.801929089	1	no	23626	10531	20400	23626	83.11117042	1.790990454	0.176909835	7.87E-26	7.33E-25	yes	962	10531	2011	10531	83.11117042	0.523855813	0.204744934	0.008047102	0.018778642	yes	10569	10531	10017	10569
P28838	ENSG00000002549	12	LAP3	protein_coding	ensembl_havana	chr4:17577192-17607972:+	988.2153963	0.212838469	0.062526828	0.000488976	0.001684992	yes	11358	2092	7000	11358	988.2153963	0.259828326	0.063151236	3.17E-05	0.000180817	yes	12840	2092	7560	12840	988.2153963	0.596389242	0.062350241	3.40E-22	7.37E-21	yes	4599	2092	2176	4599	988.2153963	2.402374709	0.069834329	5.73E-262	3.18E-259	yes	444	2092	123	2092	988.2153963	1.635069653	0.072215849	1.36E-114	1.71E-112	yes	1337	2092	431	2092
Q9NR63	ENSG00000003137	8	CYP26B1	protein_coding	ensembl_havana	chr2:72129238-72148038:-	11.10907881	1.019384606	0.486527036	0.000603456	0.001442952	yes	1051	14937	6921	14937	11.10907881	1.008590956	0.45188202	0.001571886	0.002807531	yes	2041	14937	8937	14937	11.10907881	1.761177147	0.477056294	1.27E-06	3.70E-06	yes	319	14937	5802	14937	11.10907881	0.657938167	0.610661202	0.107567868	0.128409733	no	7644	14937	11711	14937	11.10907881	3.30396306	0.582687344	2.38E-12	9.11E-12	yes	200	14937	4310	14937
P52756	ENSG00000003756	17	RBM5	protein_coding	ensembl_havana	chr3:50088919-50119021:+	634.098973	0.818251142	0.069223344	2.97E-33	9.07E-32	yes	1748	3327	932	3327	634.098973	0.691173454	0.069745156	9.17E-24	1.86E-22	yes	4349	3327	2341	4349	634.098973	-0.120777716	0.071767662	0.087853822	0.316504505	no	17811	3327	15286	17811	634.098973	1.736085542	0.083988687	1.49E-96	2.00E-94	yes	1042	3327	509	3327	634.098973	0.730625519	0.09103078	6.33E-16	8.57E-15	yes	7388	3327	3685	7388
P54819	ENSG00000004455	17	AK2	protein_coding	ensembl_havana	chr1:33007940-33080996:-	1997.305343	0.180452326	0.048323292	0.000152118	0.000607637	yes	12758	862	6485	12758	1997.305343	0.58579387	0.048459556	4.34E-34	8.70E-33	yes	5617	862	1579	5617	1997.305343	0.90033546	0.048365805	1.21E-78	2.13E-76	yes	2078	862	341	2078	1997.305343	-0.631829186	0.070552425	2.31E-19	2.91E-18	yes	8028	862	2593	8028	1997.305343	-1.999584414	0.086987888	1.29E-118	1.68E-116	yes	716	862	405	862
P28907	ENSG00000004468	13	CD38	protein_coding	ensembl_havana	chr4:15778275-15853232:+	61.73500919	0.08929179	0.154579376	0.510676465	0.560078719	no	17749	11223	16413	17749	61.73500919	-0.318737278	0.178238635	0.050869644	0.105582659	no	11113	11223	12732	12732	61.73500919	-0.002955366	0.165827991	0.984637815	0.91680716	no	34682	11223	20267	34682	61.73500919	2.684248578	0.199669803	4.66E-44	6.57E-43	yes	335	11223	1207	11223	61.73500919	1.715658763	0.21366191	5.46E-17	2.82E-16	yes	1172	11223	3452	11223
O14559	ENSG00000004777	18	ARHGAP33	protein_coding	ensembl_havana	chr19:35774532-35788822:+	32.26620167	-0.985930597	0.167098518	1.45E-10	8.86E-10	yes	1125	12697	3239	12697	32.26620167	-1.471493941	0.181738141	1.51E-17	7.14E-17	yes	693	12697	3044	12697	32.26620167	-1.099177099	0.17443219	7.81E-12	3.90E-11	yes	1282	12697	3809	12697	32.26620167	-0.974069377	0.355070947	0.001814048	0.003765986	yes	4101	12697	7900	12697	32.26620167	-0.645631053	0.278278242	0.01317146	0.023202387	yes	8573	12697	10217	12697
Q16654	ENSG00000004799	8	PDK4	protein_coding	ensembl_havana	chr7:95583499-95596516:-	197.046167	-2.893735463	0.119296394	1.97E-131	4.58E-129	yes	39	7656	99	7656	197.046167	-2.806345559	0.120010792	2.22E-123	2.75E-121	yes	67	7656	208	7656	197.046167	-1.284576968	0.093209279	8.70E-45	4.28E-43	yes	848	7656	866	7656	197.046167	-0.317340892	0.144666549	0.025323224	0.077709742	yes	14489	7656	10811	14489	197.046167	1.03993515	0.100271561	1.27E-25	1.33E-24	yes	4145	7656	2472	7656
Q9GZN4	ENSG00000005001	10	PRSS22	protein_coding	ensembl_havana	chr16:2852730-2858170:-	1304.348707	1.016007882	0.055982271	5.62E-75	4.90E-73	yes	1062	1520	277	1520	1304.348707	1.648353088	0.055394046	2.24E-196	1.16E-193	yes	484	1520	83	1520	1304.348707	1.945085186	0.055131768	1.21E-274	1.70E-271	yes	205	1520	32	1520	1304.348707	-0.57509493	0.100518552	7.66E-09	7.53E-08	yes	8968	1520	4722	8968	1304.348707	-0.358951932	0.086576063	3.03E-05	0.00020074	yes	14094	1520	7463	14094
