Accession	Description	Coverage.in.Percent	Number.of.Peptides	Number.of.PSMs	Number.of.Unique.Peptides	log2FC_t3	log2FC_t6	log2FC_t12	log2FC_t24	log2FC_t48	Abundance.Ratio.3..0	Abundance.Ratio.6..0	Abundance.Ratio.12..0	Abundance.Ratio.24..0	Abundance.Ratio.48..0	Abundance.Ratio.log2.3..0	Abundance.Ratio.log2.6..0	Abundance.Ratio.log2.12..0	Abundance.Ratio.log2.24..0	Abundance.Ratio.log2.48..0	Abundance.Ratio.P.Value.3..0	Abundance.Ratio.P.Value.6..0	Abundance.Ratio.P.Value.12..0	Abundance.Ratio.P.Value.24..0	Abundance.Ratio.P.Value.48..0	Abundance.Ratio.Adj.P.Value.3..0	Abundance.Ratio.Adj.P.Value.6..0	Abundance.Ratio.Adj.P.Value.12..0	Abundance.Ratio.Adj.P.Value.24..0	Abundance.Ratio.Adj.P.Value.48..0	Abundance.Ratio.Variability.in.Percent.3..0	Abundance.Ratio.Variability.in.Percent.6..0	Abundance.Ratio.Variability.in.Percent.12..0	Abundance.Ratio.Variability.in.Percent.24..0	Abundance.Ratio.Variability.in.Percent.48..0	Biological.Process	Cellular.Component	Molecular.Function	Pfam.IDs	Entrez.Gene.ID	Ensembl.Gene.ID	Gene.Symbol	Chromosome	KEGG.Pathways	Reactome.Pathways	WikiPathways	Number.of.Protein.Pathway.Groups	Number.of.AAs	MW.in.kDa	calc.pI	Score.Sequest.HT.Sequest.HT	Modifications
P14635	G2/mitotic-specific cyclin-B1|CCNB1	20	8	29	8	-0.06039728	-0.15521265	-0.318325858	-0.469929258	-0.57132159	0.959	0.898	0.802	0.722	0.673	-0.06	-0.15	-0.32	-0.47	-0.57	0.450640986	0.160034354	0.088942604	0.031902724	0.087774113	0.910937563	0.648668023	0.450148839	0.197868898	0.2541915	1.84	3.61	1.18	0.67	10.71	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;nucleus;organelle lumen	catalytic activity;enzyme regulator activity;protein binding	"Pf00134, Pf02984"	891	ENSG00000134057.14	CCNB1	5	FoxO signaling pathway; Progesterone-mediated oocyte maturation; p53 signaling pathway; Oocyte meiosis; Cell cycle	"APC/C:Cdc20 mediated degradation of Cyclin B; Condensation of Prometaphase Chromosomes; G2/M DNA replication checkpoint; Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex; Regulation of PLK1 Activity at G2/M Transition; Polo-like kinase mediated events; Phosphorylation of Emi1; TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest; E2F-enabled inhibition of pre-replication complex formation; Phosphorylation of the APC/C; Cyclin A/B1/B2 associated events during G2/M transition; Depolymerisation of the Nuclear Lamina; Resolution of Sister Chromatid Cohesion; Condensation of Prophase Chromosomes; MASTL Facilitates Mitotic Progression; Activation of NIMA Kinases NEK9, NEK6, NEK7; Golgi Cisternae Pericentriolar Stack Reorganization; Nuclear Pore Complex (NPC) Disassembly; The role of GTSE1 in G2/M progression after G2 checkpoint; Transcriptional regulation by RUNX2"	AMP-activated Protein Kinase (AMPK) Signaling; miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; ATM Signaling Pathway; G1 to S cell cycle control; DNA Damage Response	56	433	48.3	7.47	90.75	
P04080	Cystatin-B|CSTB	89	7	150	7	0.197865391	0.102993993	-0.110915901	-0.481968507	-0.444183845	1.147	1.074	0.926	0.716	0.735	0.2	0.1	-0.11	-0.48	-0.44	0.201124984	0.938221371	0.559776571	0.03570635	0.026273315	0.910937563	0.97951944	0.774658107	0.205257628	0.171439498	6.99	7.49	0.59	9.71	2.24	regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;nucleus;organelle lumen	enzyme regulator activity;protein binding;RNA binding	Pf00031	1476	ENSG00000160213.6	CSTB	21		Neutrophil degranulation		3	98	11.1	7.56	484.3	Acetyl [N-Term]
P04637	Cellular tumor antigen p53|TP53	5	2	8	2	-0.070966521	-0.275786313	-0.448114897	-0.918660373	-1.061902439	0.952	0.826	0.733	0.529	0.479	-0.07	-0.28	-0.45	-0.92	-1.06	0.167460194	0.031772434	0.003670052	0.010113027	0.014279628	0.910937563	0.561465265	0.283507505	0.164402784	0.152410954	0.24	7.03	0.67	6.49	9.27	cell communication;cell death;cell differentiation;cell organization and biogenesis;cell proliferation;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;mitochondrion;nucleus;organelle lumen	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00870, Pf07710, Pf08563"	7157	ENSG00000141510.16	TP53	17	Viral carcinogenesis; Hepatitis B; Central carbon metabolism in cancer; Pancreatic cancer; MicroRNAs in cancer; Chronic myeloid leukemia; Epstein-Barr virus infection; Neurotrophin signaling pathway; Huntington's disease; Non-small cell lung cancer; MAPK signaling pathway; Endometrial cancer; Breast cancer; Colorectal cancer; Pathways in cancer; Prostate cancer; Thyroid hormone signaling pathway; Glioma; Melanoma; HTLV-I infection; Apoptosis; Wnt signaling pathway; Proteoglycans in cancer; Transcriptional misregulation in cancer; p53 signaling pathway; Sphingolipid signaling pathway; Measles; Small cell lung cancer; Bladder cancer; Herpes simplex infection; Amyotrophic lateral sclerosis (ALS); Thyroid cancer; Hepatitis C; Cell cycle; Endocrine resistance; Basal cell carcinoma; Longevity regulating pathway; PI3K-Akt signaling pathway; Platinum drug resistance	TP53 Regulates Transcription of Caspase Activators and Caspases; TP53 Regulates Transcription of Death Receptors and Ligands; TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest; Ovarian tumor domain proteases; TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest; TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Factors involved in megakaryocyte development and platelet production; Activation of PUMA and translocation to mitochondria; TP53 Regulates Transcription of DNA Repair Genes; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; SUMOylation of transcription factors; Regulation of TP53 Expression; Regulation of TP53 Activity through Phosphorylation; Transcriptional  activation of  cell cycle inhibitor p21 ; Pre-NOTCH Transcription and Translation; The role of GTSE1 in G2/M progression after G2 checkpoint; G2/M DNA damage checkpoint; Ub-specific processing proteases; PI5P Regulates TP53 Acetylation; Regulation of TP53 Activity through Association with Co-factors; Regulation of TP53 Degradation; Regulation of TP53 Activity through Methylation; Activation of NOXA and translocation to mitochondria; Association of TriC/CCT with target proteins during biosynthesis; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of PTEN gene transcription; TP53 Regulates Metabolic Genes; Oncogene Induced Senescence; Interleukin-4 and 13 signaling; Formation of Senescence-Associated Heterochromatin Foci (SAHF); TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain; TP53 Regulates Transcription of Genes Involved in Cytochrome C Release; Oxidative Stress Induced Senescence; RUNX3 regulates CDKN1A transcription	AMP-activated Protein Kinase (AMPK) Signaling; miRNA Regulation of DNA Damage Response; miRNAs involved in DNA damage response; Fluoropyrimidine Activity; TP53 Network; Folate Metabolism; Apoptosis Modulation and Signaling; Cell Cycle; Alzheimers Disease; Metastatic brain tumor; Signaling Pathways in Glioblastoma; Gastric cancer network 2; Oncostatin M Signaling Pathway; Spinal Cord Injury; Retinoblastoma (RB) in Cancer; Amyotrophic lateral sclerosis (ALS); ATM Signaling Pathway; Apoptosis; Bladder Cancer; Copper homeostasis; Rac1/Pak1/p38/MMP-2 pathway; Photodynamic therapy-induced HIF-1 survival signaling; Hepatitis C and Hepatocellular Carcinoma; Pathways Affected in Adenoid Cystic Carcinoma; TGF-beta Signaling Pathway; LncRNA-mediated mechanisms of therapeutic resistance; MAPK Signaling Pathway; Wnt Signaling Pathway and Pluripotency; G1 to S cell cycle control; Senescence and Autophagy in Cancer; ErbB Signaling Pathway; DNA Damage Response; DNA Damage Response (only ATM dependent)	155	393	43.6	6.79	29.28	
Q9UBU8	Mortality factor 4-like protein 1|MORF4L1	27	7	31	6	-0.089267338	-0.024736678	-0.305788392	-0.675765438	-0.852042119	0.94	0.983	0.809	0.626	0.554	-0.09	-0.02	-0.31	-0.68	-0.85	0.421754125	0.815529785	0.011235834	0.01207074	0.007415262	0.910937563	0.944493504	0.304745269	0.164402784	0.144012314	0.62	5.06	2.58	6.69	8.46	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	nucleus	protein binding	"Pf05712, Pf11717"	10933	ENSG00000185787.14	MORF4L1	15		HATs acetylate histones	Pathways Affected in Adenoid Cystic Carcinoma	4	362	41.4	9.28	106.21	
O43164	E3 ubiquitin-protein ligase Praja-2|PJA2	5	3	12	2	-0.763660461	-0.526992432	-1.061902439	-1.63039393	-1.531156057	0.589	0.694	0.479	0.323	0.346	-0.76	-0.53	-1.06	-1.63	-1.53	0.090430116	0.210643047	0.110917407	0.043846208	0.076985977	0.910937563	0.683858093	0.47370553	0.218042765	0.2408553	37.44	44.8	36.32	53.84	61.44	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;endoplasmic reticulum;Golgi;membrane	catalytic activity;metal ion binding;protein binding	"Pf00097, Pf12678, Pf12861, Pf13639, Pf13920, Pf13923, Pf14634"	9867	ENSG00000198961.9	PJA2	5		Antigen processing: Ubiquitination & Proteasome degradation		4	708	78.2	4.39	14.96	
Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1|ARL6IP1	23	3	30	3	0.23878686	-0.051399153	0.032806145	-0.831357964	-0.512513651	1.18	0.965	1.023	0.562	0.701	0.24	-0.05	0.03	-0.83	-0.51	0.361479779	0.961778339	0.836214743	0.029818212	0.437015153	0.910937563	0.989307188	0.925746801	0.196065896	0.601566993	32.17	30.7	29.16	24.12	41.55	cell death;cell organization and biogenesis;regulation of biological process;transport	cytoplasm;cytosol;endoplasmic reticulum;membrane	protein binding	Pf02453	23204	ENSG00000170540.14	ARL6IP1	16				0	203	23.3	9.32	112.62	
Q99942	E3 ubiquitin-protein ligase RNF5|RNF5	9	2	5	2	-0.123433941	-0.134477041	-0.459972731	-0.603840511	-0.724992953	0.918	0.911	0.727	0.658	0.605	-0.12	-0.13	-0.46	-0.6	-0.72	0.261720136	0.199580959	0.015824986	0.017707444	0.028467211	0.910937563	0.676028649	0.321094193	0.170973644	0.173467913	13.02	12.21	2.72	3.03	13.27	metabolic process;regulation of biological process;response to stimulus;transport	endoplasmic reticulum;membrane;mitochondrion	catalytic activity;metal ion binding;protein binding	"Pf00097, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634"	6048	ENSG00000228405.5; ENSG00000228907.5; ENSG00000183574.12; ENSG00000204308.7; ENSG00000227277.9; ENSG00000225452.5; ENSG00000223767.5	RNF5	6; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_APD_CTG1	Protein processing in endoplasmic reticulum	ER Quality Control Compartment (ERQC); ABC-family proteins mediated transport; Defective CFTR causes cystic fibrosis		13	180	19.9	6.65	7.42	
Q02153	Guanylate cyclase soluble subunit beta-1|GUCY1B1	4	2	6	2	0.048236186	0.049630768	-0.057391664	-0.639354798	-0.675765438	1.034	1.035	0.961	0.642	0.626	0.05	0.05	-0.06	-0.64	-0.68	0.584054829	0.864579921	0.564828578	0.003819021	0.089155747	0.920427321	0.958147724	0.779021568	0.134062126	0.256193576	2.76	5.43	17.22	2.02	2.69	metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding;receptor activity	"Pf00211, Pf07700, Pf07701"	2983	ENSG00000061918.12	GUCY1B1	4	Vascular smooth muscle contraction; cGMP-PKG signaling pathway; Renin secretion; Purine metabolism; Oxytocin signaling pathway; Circadian entrainment; Gap junction; Long-term depression; Salivary secretion; Platelet activation	Nitric oxide stimulates guanylate cyclase		13	619	70.5	5.35	13.36	
O00622	CCN family member 1|CCN1	14	5	14	5	0.132247798	0.071762669	-0.152003093	-0.610433188	-0.694321257	1.096	1.051	0.9	0.655	0.618	0.13	0.07	-0.15	-0.61	-0.69	0.005014725	0.230700727	0.381351183	0.026543546	0.039142835	0.847038972	0.695242452	0.665355927	0.189920304	0.190838019	1.66	6.94	0.93	7	19.43	cell communication;cell death;cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus	extracellular;organelle lumen	nucleotide binding;protein binding	"Pf00007, Pf00090, Pf00093, Pf00219"	3491	ENSG00000142871.16	CCN1	1		Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Oncostatin M Signaling Pathway; Hypertrophy Model	6	381	42	8.21	46.96	
Q9NQW6	Anillin|ANLN	44	44	215	44	-0.015957574	-0.241270432	-0.40354186	-0.573466862	-0.780908942	0.989	0.846	0.756	0.672	0.582	-0.02	-0.24	-0.4	-0.57	-0.78	0.60098217	0.009132518	0.025713934	0.003727285	0.012721635	0.923939698	0.505010222	0.344666729	0.13375822	0.152142948	6.33	2.45	10.86	5.21	3.21	cell differentiation;cell division;cell organization and biogenesis;cellular component movement;regulation of biological process	cytoplasm;cytoskeleton;nucleus	protein binding	"Pf00169, Pf08174"	54443	ENSG00000011426.10	ANLN	7			Retinoblastoma (RB) in Cancer	1	1124	124.1	8.07	749	
